"datetime_15","25 bps decrease","25 bps increase","50+ bps decrease","50+ bps increase","No change","probability_sum"
2026-07-22 09:00:00,0.0035,0.163,0.0015,0.0065,0.834,1.0085
2026-07-22 09:15:00,0.0035,0.159,0.0015,0.0065,0.8375,1.008
2026-07-22 09:30:00,0.0035,0.1585,0.0015,0.0065,0.8395,1.0095
2026-07-22 09:45:00,0.0035,0.1585,0.0015,0.0065,0.8395,1.0095
2026-07-22 10:00:00,0.0035,0.1585,0.0015,0.0065,0.8395,1.0095
2026-07-22 10:15:00,0.0035,0.187,0.0015,0.0065,0.806,1.0045
2026-07-22 10:30:00,0.0035,0.2425,0.0015,0.008,0.7525,1.008
2026-07-22 10:45:00,0.0035,0.2355,0.0015,0.0075,0.7505,0.9985
2026-07-22 11:00:00,0.0035,0.228,0.0015,0.0075,0.76,1.0005
2026-07-22 11:15:00,0.0035,0.2065,0.0015,0.0075,0.7845,1.0035
2026-07-22 11:30:00,0.0035,0.22,0.0015,0.0085,0.7705,1.004
2026-07-22 11:45:00,0.0035,0.214,0.0015,0.0085,0.7655,0.993
2026-07-22 12:00:00,0.0035,0.222,0.0015,0.0085,0.7625,0.998
2026-07-22 12:15:00,0.0035,0.2205,0.0015,0.0085,0.7595,0.9935
2026-07-22 12:30:00,0.0035,0.2305,0.0015,0.0085,0.7645,1.0085
2026-07-22 12:45:00,0.0035,0.22,0.0015,0.0085,0.7815,1.015
2026-07-22 13:00:00,0.0035,0.222,0.0015,0.0085,0.7795,1.015
2026-07-22 13:15:00,0.0035,0.2135,0.0015,0.0085,0.7795,1.0065
2026-07-22 13:30:00,0.0035,0.216,0.0015,0.0085,0.7785,1.008
2026-07-22 13:45:00,0.0035,0.2145,0.0015,0.0085,0.7785,1.0065
2026-07-22 14:00:00,0.0035,0.215,0.0015,0.0085,0.779,1.0075
2026-07-22 14:15:00,0.0035,0.211,0.0015,0.0085,0.7755,1
2026-07-22 14:30:00,0.0035,0.212,0.0015,0.0085,0.777,1.0025
2026-07-22 14:45:00,0.0035,0.215,0.0015,0.0085,0.7795,1.008
2026-07-22 15:00:00,0.0035,0.2205,0.0015,0.0085,0.776,1.01
2026-07-22 15:15:00,0.0035,0.221,0.0015,0.0085,0.775,1.0095
2026-07-22 15:30:00,0.0035,0.217,0.0015,0.0085,0.7735,1.004
2026-07-22 15:45:00,0.0035,0.2255,0.0015,0.0085,0.7625,1.0015
2026-07-22 16:00:00,0.0035,0.2255,0.0015,0.0085,0.7665,1.0055
2026-07-22 16:15:00,0.0035,0.2205,0.0015,0.0085,0.7675,1.0015
2026-07-22 16:30:00,0.0035,0.2205,0.0015,0.0085,0.7675,1.0015
2026-07-22 16:45:00,0.0035,0.2205,0.0015,0.0085,0.7725,1.0065
2026-07-22 17:00:00,0.0035,0.2205,0.0015,0.0085,0.7715,1.0055
2026-07-22 17:15:00,0.0035,0.2205,0.0015,0.0085,0.7705,1.0045
2026-07-22 17:30:00,0.0035,0.2235,0.0015,0.0085,0.7695,1.0065
2026-07-22 17:45:00,0.0035,0.224,0.0015,0.0085,0.7695,1.007
2026-07-22 18:00:00,0.0035,0.225,0.0015,0.0085,0.7695,1.008
2026-07-22 18:15:00,0.0035,0.2255,0.0015,0.0085,0.7695,1.0085
2026-07-22 18:30:00,0.0035,0.2285,0.0015,0.0085,0.7655,1.0075
2026-07-22 18:45:00,0.0035,0.229,0.0015,0.0085,0.7655,1.008
2026-07-22 19:00:00,0.0035,0.2335,0.0015,0.0085,0.7615,1.0085
2026-07-22 19:15:00,0.0035,0.2305,0.0015,0.0085,0.767,1.011
2026-07-22 19:30:00,0.0035,0.2295,0.0015,0.0085,0.7705,1.0135
2026-07-22 19:45:00,0.0035,0.2275,0.0015,0.0085,0.7705,1.0115
2026-07-22 20:00:00,0.0035,0.227,0.0015,0.0085,0.7695,1.01
2026-07-22 20:15:00,0.0035,0.2385,0.0015,0.0085,0.7535,1.0055
2026-07-22 20:30:00,0.0035,0.2355,0.0015,0.0085,0.7505,0.9995
2026-07-22 20:45:00,0.0035,0.2355,0.0015,0.0085,0.7535,1.0025
2026-07-22 21:00:00,0.0035,0.2305,0.0015,0.0085,0.7555,0.9995
2026-07-22 21:15:00,0.0035,0.2315,0.0015,0.0085,0.7565,1.0015
2026-07-22 21:30:00,0.0035,0.2455,0.0015,0.0085,0.7515,1.0105
2026-07-22 21:45:00,0.0035,0.234,0.0015,0.0085,0.7525,1
2026-07-22 22:00:00,0.0035,0.2345,0.0015,0.0085,0.7525,1.0005
2026-07-22 22:15:00,0.0035,0.2345,0.0015,0.0085,0.7525,1.0005
2026-07-22 22:30:00,0.0035,0.2345,0.0015,0.0085,0.751,0.999
2026-07-22 22:45:00,0.0035,0.2535,0.0015,0.0085,0.7455,1.0125
2026-07-22 23:00:00,0.0035,0.253,0.0015,0.0085,0.7455,1.012
2026-07-22 23:15:00,0.0035,0.2535,0.0015,0.0085,0.7455,1.0125
2026-07-22 23:30:00,0.0035,0.2525,0.0015,0.0085,0.7465,1.0125
2026-07-22 23:45:00,0.0035,0.2525,0.0015,0.0085,0.7465,1.0125
2026-07-23,0.0035,0.2525,0.0015,0.0085,0.7465,1.0125
2026-07-23 00:15:00,0.0035,0.242,0.0015,0.0085,0.7495,1.005
2026-07-23 00:30:00,0.0035,0.241,0.0015,0.0085,0.7495,1.004
2026-07-23 00:45:00,0.0035,0.241,0.0015,0.0085,0.7535,1.008
2026-07-23 01:00:00,0.0035,0.241,0.0015,0.0085,0.7535,1.008
2026-07-23 01:15:00,0.0035,0.241,0.0015,0.0085,0.7535,1.008
2026-07-23 01:30:00,0.0035,0.24,0.0015,0.008,0.753,1.006
2026-07-23 01:45:00,0.0035,0.2395,0.0015,0.0075,0.754,1.006
2026-07-23 02:00:00,0.0035,0.2395,0.0015,0.0075,0.7545,1.0065
2026-07-23 02:15:00,0.0035,0.2395,0.0015,0.0075,0.7545,1.0065
2026-07-23 02:30:00,0.0035,0.2395,0.0015,0.0075,0.7545,1.0065
2026-07-23 02:45:00,0.0035,0.2415,0.0015,0.0075,0.7555,1.0095
2026-07-23 03:00:00,0.0035,0.2415,0.0015,0.0075,0.7545,1.0085
2026-07-23 03:15:00,0.0035,0.2425,0.0015,0.0075,0.7545,1.0095
2026-07-23 03:30:00,0.0035,0.2425,0.0015,0.0075,0.7495,1.0045
2026-07-23 03:45:00,0.0035,0.2405,0.0015,0.0075,0.7615,1.0145
2026-07-23 04:00:00,0.0035,0.2325,0.0015,0.0075,0.7625,1.0075
2026-07-23 04:15:00,0.0035,0.2335,0.0015,0.0075,0.7615,1.0075
2026-07-23 04:30:00,0.0035,0.2335,0.0015,0.0075,0.7615,1.0075
2026-07-23 04:45:00,0.0035,0.2335,0.0015,0.0075,0.7615,1.0075
2026-07-23 05:00:00,0.0035,0.2385,0.0015,0.0075,0.7595,1.0105
2026-07-23 05:15:00,0.0035,0.2395,0.0015,0.0075,0.7605,1.0125
2026-07-23 05:30:00,0.0035,0.2335,0.0015,0.0065,0.7655,1.0105
2026-07-23 05:45:00,0.0035,0.2315,0.0015,0.0065,0.7685,1.0115
2026-07-23 06:00:00,0.0035,0.204,0.0015,0.0065,0.7775,0.993
2026-07-23 06:15:00,0.0035,0.213,0.0015,0.0065,0.7635,0.988
