"datetime_15","25 bps decrease","25 bps increase","50+ bps decrease","50+ bps increase","No change","probability_sum"
2026-07-24 02:30:00,0.0035,0.2475,0.0015,NA,NA,NA
2026-07-24 15:30:00,0.0035,0.2515,0.0015,NA,NA,NA
2026-07-25 08:00:00,0.0045,0.2485,0.0015,NA,NA,NA
2026-07-25 17:00:00,0.0045,0.2175,0.0015,NA,NA,NA
2026-07-26 02:30:00,0.0045,0.1985,0.0015,NA,NA,NA
2026-07-26 11:00:00,0.0045,0.1715,0.0015,NA,NA,NA
2026-07-26 17:00:00,0.0035,0.1765,0.0015,NA,NA,NA
2026-07-27 23:00:00,0.0015,0.2835,0.0015,NA,NA,NA
2026-07-28 08:00:00,0.0015,0.2485,0.0015,NA,NA,NA
2026-07-28 16:30:00,0.0015,0.23,0.0015,NA,NA,NA
2026-07-28 17:00:00,0.0015,0.2315,0.0015,NA,NA,NA
2026-07-28 17:30:00,0.0015,0.2335,0.0015,NA,NA,NA
2026-07-28 18:00:00,0.0015,0.2325,0.0015,NA,NA,NA
2026-07-28 18:30:00,0.0015,0.247,0.0015,NA,NA,NA
2026-07-28 19:00:00,0.0015,0.243,0.0015,NA,NA,NA
2026-07-28 19:30:00,0.0015,0.2395,NA,NA,NA,NA
2026-07-28 19:45:00,0.0015,0.24,0.0015,NA,NA,NA
2026-07-28 20:00:00,0.0015,0.242,NA,NA,NA,NA
2026-07-28 22:00:00,0.0015,0.2485,0.0015,NA,NA,NA
2026-07-28 23:00:00,0.0015,0.2465,5e-04,NA,NA,NA
2026-07-28 23:30:00,0.0015,0.2425,5e-04,NA,NA,NA
2026-07-29 00:30:00,0.0015,0.2365,5e-04,NA,NA,NA
2026-07-29 01:00:00,0.0015,0.237,5e-04,NA,NA,NA
2026-07-29 01:30:00,0.0015,0.2335,5e-04,NA,NA,NA
2026-07-29 02:00:00,0.0015,0.2255,5e-04,NA,NA,NA
2026-07-29 03:00:00,0.0015,0.2115,5e-04,NA,NA,NA
2026-07-29 03:30:00,0.0015,0.2115,5e-04,NA,NA,NA
2026-07-29 08:00:00,0.0015,0.2375,5e-04,NA,NA,NA
2026-07-29 11:00:00,0.0015,0.247,5e-04,NA,NA,NA
2026-07-29 11:30:00,0.0015,0.259,5e-04,NA,NA,NA
2026-07-29 11:45:00,0.0015,0.2585,5e-04,NA,NA,NA
2026-07-29 12:00:00,0.0025,0.2695,5e-04,NA,NA,NA
2026-07-29 12:15:00,0.0025,0.2695,5e-04,NA,NA,NA
2026-07-29 12:30:00,0.0025,0.2675,5e-04,NA,NA,NA
2026-07-29 13:00:00,0.0025,0.2545,5e-04,NA,NA,NA
