specification,hac_lag,meeting_fixed_effects,ff_to_iem_beta,ff_to_iem_holm_p,iem_to_ff_beta,iem_to_ff_holm_p
multiverse_005_hac0_feoff,0,False,0.7426270968390182,0.3800271206715428,0.018612696632363156,0.3800271206715428
multiverse_005_hac0_feon,0,True,0.744535582262069,0.3032025633436817,0.020096298933613744,0.3032025633436817
multiverse_005_hac12_feoff,12,False,0.7426270968390182,0.09379480580182113,0.018612696632363156,0.09379480580182113
multiverse_005_hac12_feon,12,True,0.744535582262069,0.05691682485308537,0.020096298933613744,0.040159138299089576
multiverse_005_hac1_feoff,1,False,0.7426270968390182,0.30855462769454484,0.018612696632363156,0.30855462769454484
multiverse_005_hac1_feon,1,True,0.744535582262069,0.2449431830868042,0.020096298933613744,0.2449431830868042
multiverse_005_hac3_feoff,3,False,0.7426270968390182,0.22612744022961898,0.018612696632363156,0.22612744022961898
multiverse_005_hac3_feon,3,True,0.744535582262069,0.15446009797223437,0.020096298933613744,0.10044516060048793
multiverse_005_hac6_feoff,6,False,0.7426270968390182,0.18152139204767057,0.018612696632363156,0.18152139204767057
multiverse_005_hac6_feon,6,True,0.744535582262069,0.1396499060896291,0.020096298933613744,0.08133422721271534
multiverse_005_hac9_feoff,9,False,0.7426270968390182,0.11588036777032226,0.018612696632363156,0.11588036777032226
multiverse_005_hac9_feon,9,True,0.744535582262069,0.09006470325981476,0.020096298933613744,0.047612528162910235
